abatacepte;BRISTOL-MEYERS SQUIBB FARMACÊUTICA LTDA;ORENCIA;250 MG PO LIOF INJ CT FA + SER DESC;0;SIM
agomelatina;LABORATORIOS SERVIER DO BRASIL LTDA ;VALDOXAN;25 MG COM REV CT BL AL PLAS INC X 14 ;119,74;NÃO
agomelatina;LABORATORIOS SERVIER DO BRASIL LTDA ;VALDOXAN;25 MG COM REV CT BL AL PLAS INC X 28 ;239,47;NÃO
água;ANTIBIÓTICOS DO BRASIL LTDA;ÁGUA PARA INJEÇÃO;SOL INJ CT 25 AMP PLAS INC X 10 ML ;13,76;NÃO
água;ANTIBIÓTICOS DO BRASIL LTDA;ÁGUA PARA INJEÇÃO;SOL INJ CT 50 AMP PLAS INC X 10 ML ;27,51;NÃO
água;ANTIBIÓTICOS DO BRASIL LTDA;ÁGUA PARA INJEÇÃO;SOL INJ CT AMP PLAS INC X 10 ML ;0,54;NÃO
água;HYPOFARMA - INSTITUTO DE HYPODERMIA E FARMACIA LTDA;ÁGUA P/ INJEÇÃO;SOL INJ CX 100 AMP VD INC X 20 ML;0;SIM
água;HYPOFARMA - INSTITUTO DE HYPODERMIA E FARMACIA LTDA;ÁGUA P/ INJEÇÃO;SOL INJ CX 100 AMP VD INC X 5 ML;0;SIM
água;HYPOFARMA - INSTITUTO DE HYPODERMIA E FARMACIA LTDA;ÁGUA P/ INJEÇÃO;SOL INJ CX 100 AMP VD INC X 2 ML;0;SIM
água;HYPOFARMA - INSTITUTO DE HYPODERMIA E FARMACIA LTDA;ÁGUA P/ INJEÇÃO;SOL INJ CX 100 AMP PLAS INC X 5 ML ;0;SIM
água;HYPOFARMA - INSTITUTO DE HYPODERMIA E FARMACIA LTDA;ÁGUA P/ INJEÇÃO;SOL INJ CX 100 AMP VD INC X 10 ML;0;SIM
água;HYPOFARMA - INSTITUTO DE HYPODERMIA E FARMACIA LTDA;ÁGUA P/ INJEÇÃO;SOL INJ CX 100 AMP PLAS INC X 10 ML;0;SIM
água;HYPOFARMA - INSTITUTO DE HYPODERMIA E FARMACIA LTDA;ÁGUA P/ INJEÇÃO;SOL INJ CX 100 AMP PLAS INC X 20 ML;0;SIM
água;FRESENIUS KABI BRASIL LTDA;ÁGUA PARA IRRIGAÇÃO;SOL FR PLAS TRANS X 2000 ML;0;SIM
água;ARISTON INDÚSTRIAS QUÍMICAS E FARMACÊUTICAS LTDA;ÁGUA PARA INJEÇÃO;SOL INJ CX 100 AMP PLAS INC X 10 ML;56,24;NÃO
água;ARISTON INDÚSTRIAS QUÍMICAS E FARMACÊUTICAS LTDA;ÁGUA PARA INJEÇÃO;SOL INJ CX 100 AMP PLAS INC X 5 ML;46,28;NÃO
água;ARISTON INDÚSTRIAS QUÍMICAS E FARMACÊUTICAS LTDA;ÁGUA PARA INJEÇÃO;SOL INJ CX 100 AMP VD INC X 10 ML;93,83;NÃO
água;ARISTON INDÚSTRIAS QUÍMICAS E FARMACÊUTICAS LTDA;ÁGUA PARA INJEÇÃO;SOL INJ CX 100 AMP VD INC X 2 ML;77,12;NÃO
água;ARISTON INDÚSTRIAS QUÍMICAS E FARMACÊUTICAS LTDA;ÁGUA PARA INJEÇÃO;SOL INJ CX 100 AMP VD INC X 5 ML;77,2;NÃO
água;ARISTON INDÚSTRIAS QUÍMICAS E FARMACÊUTICAS LTDA;ÁGUA PARA INJEÇÃO;SOL INJ CX 100 AMP VD INC X 20 ML;189,31;NÃO
água para injeção;MARINHA DO BRASIL- LABORATÓRIO FARMACÊUTICO DA MARINHA;LFM-ÁGUA PARA INJETÁVEIS;SOL INJ CX 50 AMP VD INC X 10 ML;37,19;NÃO
água para injeção;HALEX ISTAR INDÚSTRIA FARMACÊUTICA LTDA;ÁGUA P/ INJEÇÃO;SOL INJ IV CX 20 BOLS PE TRANS SIST FECH X 500 ML;153,59;NÃO
água para injeção;HALEX ISTAR INDÚSTRIA FARMACÊUTICA LTDA;ÁGUA P/ INJEÇÃO;SOL INJ IV CX 60 BOLS PVC TRANS SIST FECH X 100 ML;0;SIM
água para injeção;HALEX ISTAR INDÚSTRIA FARMACÊUTICA LTDA;ÁGUA P/ INJEÇÃO;SOL INJ IV CX 72 BOLS PVC TRANS SIST FECH X 50 ML;528,3;NÃO
água para injeção;HALEX ISTAR INDÚSTRIA FARMACÊUTICA LTDA;ÁGUA P/ INJEÇÃO;SOL INJ IV CX 10 BOLS PE TRANS SIST FECH X 1000 ML ;106,84;NÃO
água para injeção;HALEX ISTAR INDÚSTRIA FARMACÊUTICA LTDA;ÁGUA P/ INJEÇÃO;SOL INJ IV CX 40 BOLS PE TRANS SIST FECH X 250 ML;277,07;NÃO
água para injeção;HALEX ISTAR INDÚSTRIA FARMACÊUTICA LTDA;ÁGUA P/ INJEÇÃO;SOL INJ IV CX 6 BOLS PE TRANS SIST FECH X 2000 ML ;94,88;NÃO
água para injeção;HALEX ISTAR INDÚSTRIA FARMACÊUTICA LTDA;ÁGUA P/ INJEÇÃO;SOL INJ IV CX 60 BOLS PE TRANS SIST FECH X 100 ML ;433,87;NÃO
água para injeção;EQUIPLEX INDÚSTRIA FARMACÊUTICA LTDA;AGUA P/ INJEÇÃO;SOL INJ CX 12 FR PE SIST FECH X 1000 ML;128,41;NÃO
água para injeção;EQUIPLEX INDÚSTRIA FARMACÊUTICA LTDA;AGUA P/ INJEÇÃO;SOL INJ CX 70 FR PE SIST FECH X 50 ML;513,79;NÃO
água para injeção;EQUIPLEX INDÚSTRIA FARMACÊUTICA LTDA;AGUA P/ INJEÇÃO;SOL INJ CX 70 FR PE SIST FECH X 100 ML;505,32;NÃO
água para injeção;EQUIPLEX INDÚSTRIA FARMACÊUTICA LTDA;AGUA P/ INJEÇÃO;SOL INJ CX 48 FR PE SIST FECH X 250 ML;332,7;NÃO
água para injeção;EQUIPLEX INDÚSTRIA FARMACÊUTICA LTDA;AGUA P/ INJEÇÃO;SOL INJ CX 40 FR PE SIST FECH X 250 ML;277,24;NÃO
água para injeção;EQUIPLEX INDÚSTRIA FARMACÊUTICA LTDA;AGUA P/ INJEÇÃO;SOL INJ CX 24 FR PE SIST FECH X 500 ML;184,52;NÃO
água para injeção;EQUIPLEX INDÚSTRIA FARMACÊUTICA LTDA;AGUA P/ INJEÇÃO;SOL INJ CX 20 FR PE SIST FECH X 500 ML;153,76;NÃO
água para injeção;EQUIPLEX INDÚSTRIA FARMACÊUTICA LTDA;AGUA PARA INJEÇÃO;SOL INJ CX 200 AMP POLIET X 20 ML;275,3;NÃO
água para injeção;EQUIPLEX INDÚSTRIA FARMACÊUTICA LTDA;AGUA PARA INJEÇÃO;SOL INJ CX 100 AMP POLIET X 20 ML;137,64;NÃO
água para injeção;ISOFARMA INDUSTRIAL FARMACÊUTICA LTDA;ISOFARMA - AGUA PARA INJEÇÃO;SOL INJ CX 200 AMP POLIET INC X 3 ML;0;SIM
água para injeção;ISOFARMA INDUSTRIAL FARMACÊUTICA LTDA;ISOFARMA - AGUA PARA INJEÇÃO;SOL INJ CX 50 AMP POLIET INC X 6 ML;0;SIM
água para injeção;ISOFARMA INDUSTRIAL FARMACÊUTICA LTDA;ISOFARMA - AGUA PARA INJEÇÃO;SOL INJ CX 50 AMP POLIET INC X 4 ML;0;SIM
água para injeção;ISOFARMA INDUSTRIAL FARMACÊUTICA LTDA;ISOFARMA - AGUA PARA INJEÇÃO;SOL INJ CX 50 AMP POLIET INC X 3 ML;0;SIM
água para injeção;ISOFARMA INDUSTRIAL FARMACÊUTICA LTDA;ISOFARMA - AGUA PARA INJEÇÃO;SOL INJ CX 50 AMP POLIET INC X 2 ML;0;SIM
água para injeção;ISOFARMA INDUSTRIAL FARMACÊUTICA LTDA;ISOFARMA - AGUA PARA INJEÇÃO;SOL INJ CX 50 AMP POLIET INC X 1 ML;2,77;NÃO
água para injeção;ISOFARMA INDUSTRIAL FARMACÊUTICA LTDA;ISOFARMA - AGUA PARA INJEÇÃO;SOL INJ CX 25 AMP POLIET INC X 6 ML;0;SIM
água para injeção;ISOFARMA INDUSTRIAL FARMACÊUTICA LTDA;ISOFARMA - AGUA PARA INJEÇÃO;SOL INJ CX 25 AMP POLIET INC X 4 ML;0;SIM
água para injeção;ISOFARMA INDUSTRIAL FARMACÊUTICA LTDA;ISOFARMA - AGUA PARA INJEÇÃO;SOL INJ CX 25 AMP POLIET INC X 3 ML;4,17;NÃO
água para injeção;ISOFARMA INDUSTRIAL FARMACÊUTICA LTDA;ISOFARMA - AGUA PARA INJEÇÃO;SOL INJ CX 25 AMP POLIET INC X 2 ML;2,77;NÃO
água para injeção;ISOFARMA INDUSTRIAL FARMACÊUTICA LTDA;ISOFARMA - AGUA PARA INJEÇÃO;SOL INJ CX 200 AMP POLIET INC X 4 ML;0;SIM
água para injeção;ISOFARMA INDUSTRIAL FARMACÊUTICA LTDA;ISOFARMA - AGUA PARA INJEÇÃO;SOL INJ CX 25 AMP POLIET INC X 1 ML;1,39;NÃO
água para injeção;ISOFARMA INDUSTRIAL FARMACÊUTICA LTDA;ISOFARMA - AGUA PARA INJEÇÃO;SOL INJ CX 200 AMP POLIET INC X 2 ML;0;SIM
água para injeção;ISOFARMA INDUSTRIAL FARMACÊUTICA LTDA;ISOFARMA - AGUA PARA INJEÇÃO;SOL INJ CX 200 AMP POLIET INC X 1 ML;11,12;NÃO
água para injeção;ISOFARMA INDUSTRIAL FARMACÊUTICA LTDA;ISOFARMA - AGUA PARA INJEÇÃO;SOL INJ CX 100 AMP POLIET INC X 5 ML;0;SIM
água para injeção;ISOFARMA INDUSTRIAL FARMACÊUTICA LTDA;ISOFARMA - AGUA PARA INJEÇÃO;SOL INJ CX 200 AMP POLIET INC X 6 ML;0;SIM
água para injeção;ISOFARMA INDUSTRIAL FARMACÊUTICA LTDA;ISOFARMA - AGUA PARA INJEÇÃO;SOL INJ CX 200 AMP POLIET INC X 10 ML ;0;SIM
água para injeção;ISOFARMA INDUSTRIAL FARMACÊUTICA LTDA;ISOFARMA - AGUA PARA INJEÇÃO;SOL INJ CX 100 AMP POLIET INC X 6 ML;0;SIM
água para injeção;ISOFARMA INDUSTRIAL FARMACÊUTICA LTDA;ISOFARMA - AGUA PARA INJEÇÃO;SOL INJ CX 200 AMP POLIET INC X 5 ML;0;SIM
água para injeção;ISOFARMA INDUSTRIAL FARMACÊUTICA LTDA;ISOFARMA - AGUA PARA INJEÇÃO;SOL INJ CX 100 AMP POLIET INC X 20 ML;0;SIM
água para injeção;ISOFARMA INDUSTRIAL FARMACÊUTICA LTDA;ISOFARMA - AGUA PARA INJEÇÃO;SOL INJ CX 200 AMP POLIET INC X 20 ML ;0;SIM
água para injeção;ISOFARMA INDUSTRIAL FARMACÊUTICA LTDA;ISOFARMA - AGUA PARA INJEÇÃO;SOL INJ CX 50 AMP POLIET TRANS X 5 ML ;0;SIM
água para injeção;ISOFARMA INDUSTRIAL FARMACÊUTICA LTDA;ISOFARMA - AGUA PARA INJEÇÃO;SOL INJ CX 100 AMP POLIET INC X 1 ML;5,56;NÃO
água para injeção;ISOFARMA INDUSTRIAL FARMACÊUTICA LTDA;ISOFARMA - AGUA PARA INJEÇÃO;SOL INJ CX 100 AMP POLIET INC X 2 ML;0;SIM
água para injeção;ISOFARMA INDUSTRIAL FARMACÊUTICA LTDA;ISOFARMA - AGUA PARA INJEÇÃO;SOL INJ CX 100 AMP POLIET INC X 3 ML;16,71;NÃO
água para injeção;ISOFARMA INDUSTRIAL FARMACÊUTICA LTDA;ISOFARMA - AGUA PARA INJEÇÃO;SOL INJ CX 100 AMP POLIET INC X 4 ML;0;SIM
água para injeção;ISOFARMA INDUSTRIAL FARMACÊUTICA LTDA;ISOFARMA - AGUA PARA INJEÇÃO;SOL INJ CX 100 AMP POLIET INC X 10 ML;0;SIM
água para injeção;SAMTEC BIOTECNOLOGIA LTDA;ÁGUA PARA INJETÁVEIS;SOL INJ CX 4 CT 100 AMP PLAS TRANS X 20 ML;284,52;NÃO
água para injeção;SAMTEC BIOTECNOLOGIA LTDA;ÁGUA PARA INJETÁVEIS;SOL INJ CX 8 CT 100 AMP PLAS TRANS X 10 ML;339;NÃO
água para injeção;FARMACE - INDÚSTRIA QUÍMICO FARMACÊUTICA CEARENSE LTDA;ÁGUA PARA INJEÇÃO;SOL INJ CX 100 FR PLAS TRANS X 20 ML;88,15;NÃO
água para injeção;FARMACE - INDÚSTRIA QUÍMICO FARMACÊUTICA CEARENSE LTDA;ÁGUA PARA INJEÇÃO;SOL INJ CX 200 FR PLAS TRANS X 10 ML;125,95;NÃO
água para injeção;FARMACE - INDÚSTRIA QUÍMICO FARMACÊUTICA CEARENSE LTDA;FARMACE - ÁGUA PARA INJEÇÃO;SOL INJ IV CX 60 FR PLAS TRANS SIST FECH X 100 ML;0;SIM
água para injeção;FARMACE - INDÚSTRIA QUÍMICO FARMACÊUTICA CEARENSE LTDA;FARMACE - ÁGUA PARA INJEÇÃO;SOL INJ IV CX 50 FR PLAS TRANS SIST FECH X 250 ML;0;SIM
água para injeção;FARMACE - INDÚSTRIA QUÍMICO FARMACÊUTICA CEARENSE LTDA;FARMACE - ÁGUA PARA INJEÇÃO;SOL INJ IV CX 24 FR PLAS TRANS SIST FECH X 500 ML;0;SIM
água para injeção;FARMACE - INDÚSTRIA QUÍMICO FARMACÊUTICA CEARENSE LTDA;FARMACE - ÁGUA PARA INJEÇÃO;SOL INJ IV CX 12 FR PLAS TRANS SIST FECH X 1000 ML ;0;SIM
água para injeção;NOVAFARMA INDÚSTRIA FARMACÊUTICA LTDA;DILUENTE NOVAFARMA;SOL INJ DIL CX 50 AMP VD INC X 4 ML;39,48;NÃO
água para injeção;NOVAFARMA INDÚSTRIA FARMACÊUTICA LTDA;DILUENTE - ÁGUA PARA INJEÇÃO;SOL INJ CX 50 AMP VD INC X 3 ML;42,74;NÃO
água para injeção;NOVAFARMA INDÚSTRIA FARMACÊUTICA LTDA;DILUENTE - ÁGUA PARA INJEÇÃO;SOL INJ CX 50 AMP VD INC X 10 ML;60,95;NÃO
água para injeção;NOVAFARMA INDÚSTRIA FARMACÊUTICA LTDA;DILUENTE - ÁGUA PARA INJEÇÃO;SOL INJ CX 50 AMP VD INC X 5 ML;46,4;NÃO
água para injeção;INDÚSTRIA FARMACÊUTICA AMORIM LTDA;AGUA PARA INJEÇÃO;LIQ DIL INJ CX 12 FA PLAS INC X 1000 ML;3,99;NÃO
água para injeção;INDÚSTRIA FARMACÊUTICA AMORIM LTDA;AGUA PARA INJEÇÃO;LIQ DIL INJ CX 20 FA PLAS INC X 500 ML;2,21;NÃO
água para injeção;INDÚSTRIA FARMACÊUTICA AMORIM LTDA;AGUA PARA INJEÇÃO;LIQ DIL INJ CX 40 FA PLAS INC X 250 ML;1,46;NÃO
água para injeção;LABORATÓRIO SANOBIOL LTDA;AGUA PARA INJECAO;SOL INJ IV CX 12 FR PLAS TRANS SIST FECH X 1000ML;128,03;NÃO
água para injeção;LABORATÓRIO SANOBIOL LTDA;AGUA PARA INJECAO;SOL INJ IV CX 80 BOLS PLAS PP SIST FECH X 125ML;0;SIM
água para injeção;LABORATÓRIO SANOBIOL LTDA;AGUA PARA INJECAO;INJ CX 100 AMP 10 ML;0,5;NÃO
água para injeção;LABORATÓRIO SANOBIOL LTDA;AGUA PARA INJECAO;SOL INJ IV CX 40 FR PLAS TRANS SIST FECH X 250ML;276,02;NÃO
água para injeção;LABORATÓRIO SANOBIOL LTDA;AGUA PARA INJECAO;SOL INJ IV CX 80 BOLS PLAS PP SIST FECH X 100ML;576,29;NÃO
água para injeção;LABORATÓRIO SANOBIOL LTDA;AGUA PARA INJECAO;SOL INJ IV CX 80 FR PLAS TRANS SIST FECH X 125ML;575,08;NÃO
água para injeção;LABORATÓRIO SANOBIOL LTDA;AGUA PARA INJECAO;SOL INJ IV CX 40 BOLS PLAS PP SIST FECH X 250ML ;0;SIM
água para injeção;LABORATÓRIO SANOBIOL LTDA;AGUA PARA INJECAO;SOL INJ IV CX 20 FR PLAS TRANS SIST FECH X 500ML;153,15;NÃO
água para injeção;LABORATÓRIO SANOBIOL LTDA;AGUA PARA INJECAO;SOL INJ IV CX 20 BOLS PLAS PP SIST FECH X 500ML ;0;SIM
água para injeção;LABORATÓRIO SANOBIOL LTDA;AGUA PARA INJECAO;INJ CX 100 AMP 5 ML;0,5;NÃO
água para injeção;LABORATÓRIO SANOBIOL LTDA;AGUA PARA INJECAO;SOL INJ IV CX 12 BOLS PLAS PP SIST FECH X 1000ML ;0;SIM
água para injeção;LABORATÓRIOS B.BRAUN S.A;'ÁGUA PARA INJEÇÃO B. BRAUN;SOL INJ CX FA PLAS INC SIS FECH X 1000 ML;0;SIM
água para injeção;LABORATÓRIOS B.BRAUN S.A;'ÁGUA PARA INJEÇÃO B. BRAUN;SOL INJ CX FA PLAS INC SIST FECH X 250 ML;0;SIM
água para injeção;LABORATÓRIOS B.BRAUN S.A;ÁGUA PARA INJEÇÃO B. BRAUN;SOL INJ CX FA PLAS INC SIST FECH X 100 ML;0;SIM
água para injeção;LABORATÓRIOS B.BRAUN S.A;ÁGUA PARA INJEÇÃO B. BRAUN;SOL INJ CX FA PLAS INC SIST FECH X 50 ML;7,35;NÃO
água para injeção;LABORATÓRIOS PIERRE FABRE DO BRASIL LTDA;ÁGUA P/ INJEÇÃO;SOL INJ CX 250 AMP PLAS TRANS X 10 ML;0,4;NÃO
água para injeção;SEGMENTA FARMACÊUTICA LTDA;ÁGUA PARA INJETÁVEIS;SOL INJ FA PLAS TRANS SIST FECH X 250 ML (CONT 50 ML);0;SIM
água para injeção;SEGMENTA FARMACÊUTICA LTDA;ÁGUA PARA INJETÁVEIS;SOL INJ FA PLAS TRANS SIST FECH X 100 ML;0;SIM
água para injeção;SEGMENTA FARMACÊUTICA LTDA;ÁGUA PARA INJETÁVEIS;SOL INJ FA PLAS TRANS SIST FECH X 100 ML (CONT 50 ML);0;SIM
água para injeção;SEGMENTA FARMACÊUTICA LTDA;ÁGUA PARA INJETÁVEIS;SOL INJ BOLS PP TRANS SIST FECH X 250 ML (CONT 100 ML);0;SIM
água para injeção;SEGMENTA FARMACÊUTICA LTDA;ÁGUA PARA INJETÁVEIS;SOL INJ BOLS PP TRANS SIST FECH X 100ML (CONT 50 ML);0;SIM
água para injeção;SEGMENTA FARMACÊUTICA LTDA;ÁGUA PARA INJETÁVEIS;SOL INJ BOLS PP TRANS SIST FECH X 100 ML;0;SIM
água para injeção;SEGMENTA FARMACÊUTICA LTDA;ÁGUA PARA INJETÁVEIS;SOL INJ FA PLAS  TRANS SIST FECH X 500 ML ;0;SIM
água para injeção;SEGMENTA FARMACÊUTICA LTDA;ÁGUA PARA INJETÁVEIS;SOL INJ FA PLAS TRANS SIST FECH X 250 ML (CONT 100 ML);0;SIM
água para injeção;SEGMENTA FARMACÊUTICA LTDA;ÁGUA PARA INJETÁVEIS;SOL INJ FA PLAS TRANS SIST FECH X 250 ML  ;0;SIM
água para injeção;SEGMENTA FARMACÊUTICA LTDA;ÁGUA PARA INJETÁVEIS;SOL INJ FA PLAS TRANS SIST FECH X 250 ML (CONT 202 ML);0;SIM
água para injeção;SEGMENTA FARMACÊUTICA LTDA;ÁGUA PARA INJETÁVEIS;SOL INJ BOLS  PP TRANS SIST FECH X 1000 ML      ;01;0;SIM
água para injeção;SEGMENTA FARMACÊUTICA LTDA;ÁGUA PARA INJETÁVEIS;SOL INJ BOLS PP TRANS SIST FECH X 250 ML (CONT 50 ML);0;SIM
água para injeção;SEGMENTA FARMACÊUTICA LTDA;ÁGUA PARA INJETÁVEIS;SOL INJ FA PLAS TRANS SIST FECH X 1000 ML   ;0;SIM
água para injeção;SEGMENTA FARMACÊUTICA LTDA;ÁGUA PARA INJETÁVEIS;SOL INJ BOLS PP TRANS SIST FECH X 500 ML      ;0;SIM
água para injeção;SEGMENTA FARMACÊUTICA LTDA;ÁGUA PARA INJETÁVEIS;SOL INJ BOLS  PP TRANS SIST FECH X 250 ML     ;0;SIM
água para injeção;BEKER PRODUTOS FÁRMACO HOSPITALARES LTDA;ÁGUA PARA INJETÁVEIS;VOLUME DE 10ML;0,49;NÃO
água para injeção;BEKER PRODUTOS FÁRMACO HOSPITALARES LTDA;ÁGUA ESTÉRIL PARA INJETÁVEIS BEKER;SOL INJ IV CX 90 BOLS PVC SIST FECH X 125 ML;0;SIM
água para injeção;BEKER PRODUTOS FÁRMACO HOSPITALARES LTDA;ÁGUA ESTÉRIL PARA INJETÁVEIS BEKER;SOL INJ IV CX 14 BOLS PVC SIST FECH X 1000 ML;0;SIM
água para injeção;BEKER PRODUTOS FÁRMACO HOSPITALARES LTDA;ÁGUA ESTÉRIL PARA INJETÁVEIS BEKER;SOL INJ IV CX 24 BOLS PVC SIST FECH X 500 ML;0;SIM
água para injeção;BEKER PRODUTOS FÁRMACO HOSPITALARES LTDA;ÁGUA ESTÉRIL PARA INJETÁVEIS BEKER;SOL INJ IV CX 50 BOLS PVC SIST FECH X 250 ML;0;SIM
água para injeção;FRESENIUS KABI BRASIL LTDA;ÁGUA PARA INJEÇÃO;SOL INJ CX FR PLAS TRANS X 100 ML (CONT 50 ML) (SIST. FECHADO) ;0;SIM
água para injeção;FRESENIUS KABI BRASIL LTDA;ÁGUA PARA INJEÇÃO;SOL INJ IV CX BOLS PLAS SIST FECH X 250ML ;0;SIM
água para injeção;FRESENIUS KABI BRASIL LTDA;ÁGUA PARA INJEÇÃO;SOL INJ IV CX BOLS PLAS SIST FECH X 50 ML ;7,33;NÃO
água para injeção;FRESENIUS KABI BRASIL LTDA;ÁGUA PARA INJEÇÃO;SOL INJ IV CX BOLS PLAS SIST FECH X 500ML ;0;SIM
água para injeção;FRESENIUS KABI BRASIL LTDA;ÁGUA PARA INJEÇÃO;SOL INJ CX FR PLAS TRANS X 250ML SIST FECH (CONT 100ML) ;0;SIM
água para injeção;FRESENIUS KABI BRASIL LTDA;ÁGUA PARA INJEÇÃO;SOL INJ CX FR PLAS TRANS X 100 ML (SIST. FECHADO);0;SIM
água para injeção;FRESENIUS KABI BRASIL LTDA;ÁGUA PARA INJEÇÃO;SOL INJ CX FR PLAS TRANS X 250 ML (SIST. FECHADO) ;0;SIM
água para injeção;FRESENIUS KABI BRASIL LTDA;ÁGUA PARA INJEÇÃO;SOL INJ CX FR PLAS TRANS X 500 ML (SIST. FECHADO);0;SIM
água para injeção;FRESENIUS KABI BRASIL LTDA;ÁGUA PARA INJEÇÃO;SOL INJ CX FR PLAS TRANS X 1000 ML (SIST. FECHADO);01;0;SIM
água para injeção;FRESENIUS KABI BRASIL LTDA;ÁGUA PARA INJEÇÃO;SOL INJ CX FR PLAS TRANS X 250ML SIST FECH (CONT 50ML) ;0;SIM
água para injeção;FRESENIUS KABI BRASIL LTDA;ÁGUA PARA INJEÇÃO;SOL INJ IV CX BOLS PLAS SIST FECH X 100ML ;0;SIM
água para injeção;FRESENIUS KABI BRASIL LTDA;ÁGUA PARA INJEÇÃO;SOL INJ IV CX BOLS PLAS SIST FECH X 1000ML ;0;SIM
água para injeção;BAXTER HOSPITALAR LTDA;ÁGUA ESTÉRIL BAXTER;SOL IRRIG UROLOG CX BOLS PLAS INC X 1000 ML;0;SIM
água para injeção;BAXTER HOSPITALAR LTDA;ÁGUA ESTÉRIL BAXTER;SOL IRRIG UROLOG CX BOLS PLAS INC X 3000 ML;0;SIM
água para injeção;BAXTER HOSPITALAR LTDA;ÁGUA ESTÉRIL BAXTER;SOL IRRIG UROLOG CX BOLS PLAS INC X 2000 ML;0;SIM
água para injeção;PRODOTTI LABORATÓRIO FARMACÊUTICO LTDA;AGUA PARA INJEÇÃO;SOL INJ CX 50  AMP VD INC X 2 ML;56,57;NÃO
água para injeção;PRODOTTI LABORATÓRIO FARMACÊUTICO LTDA;AGUA PARA INJEÇÃO;SOL INJ CX 50  AMP VD INC X 5 ML;91,38;NÃO
água para injeção;JP INDÚSTRIA FARMACÊUTICA S.A;AGUA PARA INJECAO;SOL INJ IV CX 40 FR PLAS SIST FECH X 250 ML ;0;SIM
água para injeção;JP INDÚSTRIA FARMACÊUTICA S.A;AGUA PARA INJECAO;SOL INJ IV CX 10 BOLS PVC SIST FECH X 1000 ML;0;SIM
água para injeção;JP INDÚSTRIA FARMACÊUTICA S.A;AGUA PARA INJECAO;SOL INJ IV CX 12 FR PLAS SIST FECH X 1000 ML;0;SIM
água para injeção;JP INDÚSTRIA FARMACÊUTICA S.A;AGUA PARA INJECAO;SOL INJ IV CX 20 BOLS PVC SIST FECH X 500 ML;0;SIM
água para injeção;JP INDÚSTRIA FARMACÊUTICA S.A;AGUA PARA INJECAO;SOL INJ IV CX 24 FR PLAS SIST FECH X 500 ML;0;SIM
água para injeção;JP INDÚSTRIA FARMACÊUTICA S.A;AGUA PARA INJECAO;SOL INJ IV CX 35 BOLS PVC SIST FECH X 250 ML;0;SIM
água para injeção;EUROFARMA LABORATÓRIOS LTDA;ÁGUA PARA INJETÁVEIS;SOL INJ BOLS PP TRANS SIST FECH X 100 ML (CONT 50 ML);0;SIM
água para injeção;EUROFARMA LABORATÓRIOS LTDA;ÁGUA PARA INJETÁVEIS;SOL INJ BOLS PP TRANS SIST FECH X 250 ML (CONT 100 ML);0;SIM
água para injeção;EUROFARMA LABORATÓRIOS LTDA;ÁGUA PARA INJETÁVEIS;SOL INJ BOLS PP TRANS SIST FECH X 100 ML;0;SIM
água para injeção;EUROFARMA LABORATÓRIOS LTDA;ÁGUA PARA INJETÁVEIS;SOL INJ FA PLAS TRANS SIST FECH X 250 ML (CONT 50 ML);0;SIM
água para injeção;EUROFARMA LABORATÓRIOS LTDA;ÁGUA PARA INJETÁVEIS;SOL INJ BOLS PP TRANS SIST FECH X 1000 ML;0;SIM
água para injeção;EUROFARMA LABORATÓRIOS LTDA;ÁGUA PARA INJETÁVEIS;SOL INJ FA PLAS TRANS SIST FECH X 500 ML;0;SIM
água para injeção;EUROFARMA LABORATÓRIOS LTDA;ÁGUA PARA INJETÁVEIS;SOL INJ BOLS PP TRANS SIST FECH X 500 ML;0;SIM
água para injeção;EUROFARMA LABORATÓRIOS LTDA;ÁGUA PARA INJETÁVEIS;SOL INJ FA PLAS TRANS SIST FECH X 250 ML (CONT 100 ML);0;SIM
água para injeção;EUROFARMA LABORATÓRIOS LTDA;ÁGUA PARA INJETÁVEIS;SOL INJ FA PLAS TRANS SIST FECH X 250 ML;0;SIM
água para injeção;EUROFARMA LABORATÓRIOS LTDA;ÁGUA PARA INJETÁVEIS;SOL INJ FA PLAS TRANS SIST FECH X 100 ML (CONT 50 ML);0;SIM
água para injeção;EUROFARMA LABORATÓRIOS LTDA;ÁGUA PARA INJETÁVEIS;SOL INJ BOLS PP TRANS SIST FECH X 250 ML;0;SIM
água para injeção;EUROFARMA LABORATÓRIOS LTDA;ÁGUA PARA INJETÁVEIS;SOL INJ FA PLAS TRANS SIST FECH X 100 ML;0;SIM
água para injeção;EUROFARMA LABORATÓRIOS LTDA;ÁGUA PARA INJETÁVEIS;SOL INJ FA PLAS TRANS SIST FECH X 1000 ML;0;SIM
água para injeção;EUROFARMA LABORATÓRIOS LTDA;ÁGUA PARA INJETÁVEIS;SOL INJ BOLS PP TRANS SIST FECH X 250 ML (CONT 50 ML);0;SIM
água para injeção;EUROFARMA LABORATÓRIOS LTDA;ÁGUA PARA INJETÁVEIS;SOL INJ FA PLAS TRANS SIST FECH X 250 ML (CONT 202 ML);0;SIM
água para injeção;INDÚSTRIA FARMACÊUTICA BASA;ÁGUA PARA INJETÁVEIS BASA;SOL INJ IV CX 24 FR PLAS TRANS SIST FECH X 500 ML;183,18;NÃO
